mean,min,max,class
-3.4308836,-309.78928,111.89102,turkmence
-3.4843366,-308.77606,118.300354,turkmence
-3.9416473,-292.00656,130.51546,turkmence
-3.8876464,-312.8128,92.490364,turkmence
-3.7273853,-278.3247,115.76894,turkmence
-3.8484814,-286.14908,121.00865,turkmence
-4.171069,-324.8124,114.5408,turkmence
-4.0978036,-255.61313,124.05525,turkmence
-4.7249293,-327.8427,116.57838,turkmence
-4.117567,-282.95413,114.07519,turkmence
-4.078482,-318.61465,114.53369,turkmence
-4.2256665,-274.40137,109.424675,turkmence
-4.8464413,-367.03088,111.1119,turkmence
-3.4406955,-238.11087,120.19172,turkmence
-3.5241,-242.68068,120.484985,turkmence
-3.5865924,-250.686,117.69696,turkmence
-4.52098,-388.87387,87.9312,turkmence
-4.0256233,-269.90204,125.582436,turkmence
-4.1933494,-267.60004,133.24698,turkmence
-3.988194,-264.83612,101.79134,turkmence
-4.0591083,-276.95764,133.33984,turkmence
-4.625807,-314.64996,127.269554,turkmence
-4.1424003,-256.8081,130.80893,turkmence
-4.384894,-300.07944,85.482285,turkmence
-4.2649474,-285.01608,119.44161,turkmence
-4.246305,-285.48108,119.22891,turkmence
-4.3735666,-345.1086,111.97593,turkmence
-4.0005746,-265.0862,117.60554,turkmence
-4.1170425,-291.62943,101.46315,turkmence
-4.1506257,-283.91586,132.03795,turkmence
-4.1789417,-306.5751,108.96664,turkmence
-4.0834017,-280.89655,139.70056,turkmence
-3.9733124,-283.36053,116.32088,turkmence
-4.1483984,-330.49588,104.75359,turkmence
-4.4241996,-303.65512,119.40957,turkmence
-3.8703623,-331.61804,98.08027,turkmence
-4.136172,-261.94363,123.21238,turkmence
-4.352552,-248.76718,119.12236,turkmence
-4.303022,-240.50479,136.7677,turkmence
-4.7141085,-283.38113,94.3575,turkmence
-4.364816,-249.59732,116.659584,turkmence
-4.467197,-262.14484,114.02673,turkmence
-4.4413695,-248.71541,112.41011,turkmence
-4.6440687,-262.2931,119.903496,turkmence
-4.6713643,-258.19006,117.58822,turkmence
-4.5259905,-255.23392,116.037384,turkmence
-4.6224804,-256.01575,133.18771,turkmence
-4.72718,-266.49167,131.15466,turkmence
-4.9403915,-283.51288,123.527855,turkmence
-4.630344,-267.17932,113.022514,turkmence
-4.615934,-262.0681,108.10793,turkmence
-4.6921177,-251.96577,106.07963,turkmence
-4.578456,-360.7195,139.20859,turkmence
-4.5978427,-422.89325,102.03209,turkmence
-3.6604757,-281.3749,98.18888,turkmence
-2.8835301,-266.6477,120.25494,turkmence
-2.6120725,-273.81937,130.18553,turkmence
-2.6819603,-263.6596,132.72421,turkmence
-2.8199399,-269.61374,133.67395,turkmence
-2.6583247,-247.62927,128.96803,turkmence
-2.7025385,-261.10968,135.54129,turkmence
-2.6207473,-241.70424,135.6713,turkmence
-2.8277287,-269.13052,129.40019,turkmence
-2.9957936,-288.11716,117.036285,turkmence
-2.7629204,-248.63464,101.16176,turkmence
-2.837176,-256.8824,114.001785,turkmence
-2.5795963,-225.53006,127.722046,turkmence
-3.8721924,-458.56525,97.989456,turkmence
-3.1802943,-263.21548,96.169945,turkmence
-3.4739869,-309.71985,147.03804,turkmence
-3.5032434,-296.2178,107.00487,turkmence
-3.6580222,-318.81793,132.70271,turkmence
-3.5627859,-296.0851,123.927055,turkmence
-3.4289074,-299.52957,128.70097,turkmence
-3.669663,-300.77722,117.244965,turkmence
-3.4042091,-263.47467,106.71228,turkmence
-3.6060405,-314.43616,107.77675,turkmence
-3.5496583,-307.9486,122.43423,turkmence
-3.2237415,-295.11792,107.5153,turkmence
-3.3760855,-291.88086,116.51461,turkmence
-3.495041,-301.613,115.550446,turkmence
-3.309922,-254.83621,110.42199,turkmence
-3.5324714,-295.36972,125.391464,turkmence
-3.896987,-280.0556,111.07413,turkmence
-4.3410864,-239.6064,137.7201,turkmence
-4.327574,-258.76205,127.84452,turkmence
-4.2323804,-234.08922,133.16933,turkmence
-4.4621143,-253.18764,111.53885,turkmence
-4.3745766,-250.35062,123.629196,turkmence
-4.6051354,-265.2845,109.04001,turkmence
-3.895564,-212.67033,128.51295,turkmence
-4.8285985,-272.77292,113.68066,turkmence
-3.9554338,-228.48471,117.513794,turkmence
-4.445071,-256.0688,110.69653,turkmence
-4.1021786,-228.9846,123.25221,turkmence
-4.4527497,-252.49261,125.15063,turkmence
-4.5163074,-270.86774,116.75118,turkmence
-4.4975657,-262.59836,138.34506,turkmence
-4.12827,-221.95132,125.50446,turkmence
-4.156619,-238.36617,133.16647,turkmence
-4.237667,-313.04953,141.30774,turkmence
-3.8316882,-316.00745,106.894646,turkmence
-3.356225,-232.54485,119.30078,turkmence
-3.3838284,-254.10306,111.103096,turkmence
-3.3521411,-231.03387,116.30015,turkmence
-3.1457074,-237.2094,130.82025,turkmence
-3.300626,-240.17188,126.521324,turkmence
-3.276427,-245.01811,114.988304,turkmence
-3.519929,-262.04926,123.64698,turkmence
-3.4610074,-254.38959,120.58481,turkmence
-3.613319,-254.16122,135.0893,turkmence
-3.5860984,-254.48555,119.81956,turkmence
-3.8462477,-266.216,140.50513,turkmence
-4.6637664,-282.60294,111.92461,turkmence
-4.471928,-245.11214,120.36401,turkmence
-4.9928217,-286.20047,120.80489,turkmence
-4.5255604,-257.58508,113.73284,turkmence
-4.4712906,-247.76596,118.10053,turkmence
-4.657392,-280.13028,118.77838,turkmence
-4.5158453,-260.43506,109.16639,turkmence
-4.941477,-293.85117,117.1154,turkmence
-4.722969,-273.4719,121.96743,turkmence
-4.5953517,-267.54077,112.781044,turkmence
-4.317694,-254.35214,127.550644,turkmence
-4.554533,-273.51645,123.05733,turkmence
-4.4689145,-252.35439,118.77176,turkmence
